mcg,gvh,lip,chg,aac,alm1,alm2,class
0.07,0.4,0.48,0.5,0.54,NA,NA,cp
0.23,0.32,0.48,0.5,NA,0.25,0.35,cp
0.21,0.34,0.48,0.5,NA,0.28,NA,cp
0.42,NA,0.48,0.5,0.57,0.27,0.37,cp
0.51,NA,0.48,0.5,0.46,0.32,NA,cp
0.34,0.45,0.48,0.5,0.38,0.24,NA,cp
0.41,0.57,0.48,0.5,NA,NA,0.32,cp
0.51,0.54,0.48,0.5,0.41,0.34,0.43,cp
0.29,0.37,0.48,0.5,0.48,0.44,0.52,cp
0.43,0.37,0.48,0.5,0.53,NA,0.44,cp
0.34,NA,0.48,0.5,0.38,0.35,0.44,cp
0.24,NA,0.48,0.5,0.31,NA,NA,cp
0.65,0.47,0.48,0.5,NA,NA,0.4,cp
0.33,NA,0.48,0.5,NA,NA,0.41,cp
0.28,0.38,0.48,0.5,NA,0.33,NA,cp
0.44,0.35,0.48,0.5,0.55,0.55,NA,cp
0.23,0.33,0.48,0.5,0.43,0.33,0.43,cp
0.22,0.36,0.48,0.5,NA,0.39,0.47,cp
0.54,NA,0.48,0.5,NA,0.33,0.42,cp
0.44,NA,0.48,0.5,0.3,NA,0.43,cp
0.52,0.36,0.48,0.5,0.41,0.28,0.38,cp
0.47,NA,0.48,0.5,0.51,NA,0.43,cp
0.52,NA,0.48,0.5,NA,NA,0.54,cp
0.26,0.26,0.48,0.5,NA,NA,0.35,cp
0.44,0.42,0.48,0.5,0.42,0.25,0.2,cp
0.48,0.42,0.48,0.5,NA,0.25,0.35,cp
0.29,NA,0.48,0.5,NA,NA,NA,cp
0.29,NA,0.48,0.5,0.41,0.23,0.34,cp
0.4,NA,0.48,0.5,0.52,NA,0.56,cp
0.5,NA,0.48,0.5,NA,0.23,0.34,cp
0.4,NA,0.48,0.5,NA,0.27,0.27,cp
0.31,0.47,0.48,0.5,NA,NA,0.39,cp
0.57,NA,0.48,0.5,NA,0.28,0.33,cp
0.38,NA,0.48,0.5,0.63,NA,0.35,cp
0.33,NA,0.48,0.5,0.53,NA,NA,cp
0.44,0.49,0.48,0.5,0.39,0.38,0.4,cp
0.47,0.28,0.48,0.5,NA,0.2,NA,cp
0.35,NA,0.48,0.5,NA,0.3,NA,cp
0.41,NA,0.48,0.5,0.58,NA,0.31,cp
0.25,0.51,0.48,0.5,0.37,NA,NA,cp
0.24,0.41,0.48,0.5,NA,NA,0.34,cp
0.61,NA,0.48,0.5,0.49,0.35,NA,cp
0.4,NA,0.48,0.5,0.42,NA,0.44,cp
0,NA,0.48,0.5,0.42,0.48,NA,cp
0.27,0.3,0.48,0.5,NA,NA,0.39,cp
0.3,0.37,0.48,0.5,0.43,0.18,0.3,cp
0.22,0.34,0.48,0.5,0.42,0.29,0.39,cp
0.16,0.43,0.48,0.5,NA,NA,NA,cp
0.63,0.47,0.48,0.5,0.51,0.82,0.84,im
0.43,0.4,0.48,0.5,0.58,0.75,0.78,im
0.52,0.39,0.48,0.5,0.65,0.71,0.73,im
0.12,0.67,0.48,0.5,NA,0.58,NA,im
0.84,NA,0.48,0.5,0.48,NA,0.74,im
0.48,NA,0.48,0.5,0.51,NA,NA,im
0.47,NA,0.48,0.5,0.58,NA,0.75,im
0.54,0.57,0.48,0.5,0.56,NA,0.83,im
0.49,0.42,0.48,0.5,NA,NA,0.81,im
0.33,0.45,0.48,0.5,0.45,0.88,NA,im
0.5,NA,0.48,0.5,NA,0.64,0.69,im
0.83,NA,0.48,0.5,0.61,0.71,0.74,im
0.7,0.4,0.48,0.5,0.56,0.86,NA,im
0.74,NA,0.48,0.5,0.66,NA,NA,im
0.7,0.46,0.48,0.5,0.56,NA,NA,im
0.33,0.37,0.48,0.5,0.46,0.65,0.69,im
0.34,0.67,0.48,0.5,NA,0.76,NA,im
0.51,0.4,0.48,0.5,NA,NA,NA,im
0.37,0.47,0.48,0.5,0.39,0.76,0.79,im
0.39,0.41,0.48,0.5,0.52,0.72,NA,im
0.61,0.66,0.48,0.5,0.46,NA,0.88,im
0.31,0.36,0.48,0.5,0.58,NA,NA,im
0.52,0.54,0.48,0.5,NA,0.76,0.79,im
0,0.51,0.48,0.5,NA,0.67,0.44,im
0.61,0.47,0.48,0.5,NA,NA,NA,im
0.85,0.53,0.48,0.5,0.53,0.52,0.35,imS
0.7,0.39,1,0.5,0.51,NA,NA,imL
0.83,0.48,0.48,0.5,0.65,0.76,0.79,imU
0.78,0.33,0.48,0.5,NA,0.77,NA,imU
0.67,NA,0.48,0.5,NA,NA,0.68,imU
0.76,0.71,0.48,0.5,0.5,0.71,0.75,imU
0.81,0.44,0.48,0.5,0.42,0.67,NA,imU
0.62,0.42,0.48,0.5,0.58,0.79,0.81,imU
0.87,0.49,0.48,0.5,0.61,NA,0.79,imU
0.7,0.53,0.48,0.5,NA,NA,NA,imU
0.73,NA,0.48,0.5,0.57,NA,NA,imU
0.84,0.54,0.48,0.5,0.75,NA,NA,imU
0.79,NA,0.48,0.5,0.5,0.66,0.68,imU
0.78,NA,0.48,0.5,NA,0.4,0.29,om
0.61,NA,0.48,0.5,0.51,0.33,0.33,om
0.73,0.84,0.48,0.5,NA,NA,0.29,om
0.74,0.78,0.48,0.5,NA,NA,NA,om
0.65,0.51,0.48,0.5,0.66,0.54,NA,om
0.6,NA,1,0.5,0.77,NA,NA,om
0.71,NA,0.48,0.5,NA,NA,NA,om
0.66,NA,1,0.5,0.54,NA,0.36,omL
0.68,NA,1,0.5,0.62,0.55,0.28,omL
0.66,0.86,0.48,0.5,0.34,0.41,0.36,pp
0.72,0.86,0.48,0.5,NA,NA,NA,pp
0.67,0.61,0.48,0.5,0.51,NA,0.38,pp
0.71,0.71,0.48,0.5,0.4,0.54,0.39,pp
0.64,NA,0.48,0.5,0.49,NA,NA,pp
0.7,NA,0.48,0.5,0.47,0.51,NA,pp
0.63,NA,0.48,0.5,0.39,0.47,NA,pp
0.71,0.86,0.48,0.5,0.4,0.54,0.32,pp
0.74,0.47,0.48,0.5,0.5,NA,NA,pp
0.69,NA,0.48,0.5,NA,0.39,NA,pp
0.64,NA,0.48,0.5,NA,0.39,NA,pp
0.69,0.59,0.48,0.5,NA,0.44,0.52,pp
0.62,0.78,0.48,0.5,NA,0.49,0.54,pp
0.29,NA,0.48,0.5,0.52,0.4,NA,pp
0.69,0.66,0.48,0.5,0.41,NA,0.25,pp
0.74,0.56,0.48,0.5,NA,NA,NA,pp
0.59,NA,0.48,0.5,NA,0.42,0.37,pp
0.56,NA,0.48,0.5,0.49,0.37,0.46,cp
0.67,0.39,0.48,0.5,0.36,0.38,0.46,cp
0.2,0.44,0.48,0.5,0.46,0.51,NA,cp
0.25,NA,0.48,0.5,NA,NA,0.29,cp
0.22,0.43,0.48,0.5,0.48,NA,0.28,cp
0.44,NA,0.48,0.5,0.55,0.52,NA,cp
0.4,0.45,0.48,0.5,0.38,NA,NA,cp
0.3,NA,0.48,0.5,NA,NA,NA,cp
0.25,0.4,0.48,0.5,0.47,0.33,0.42,cp
0.43,0.39,0.48,0.5,0.47,0.31,NA,cp
0.56,NA,0.48,0.5,0.34,0.37,0.46,cp
0.36,0.54,0.48,0.5,0.41,NA,0.46,cp
0.32,0.42,0.48,0.5,0.35,0.28,NA,cp
0.3,0.37,0.48,0.5,NA,NA,NA,cp
0.61,0.45,0.48,0.5,NA,0.35,NA,cp
0.43,0.4,0.48,0.5,NA,0.28,NA,cp
0.37,0.52,0.48,0.5,0.42,0.42,0.36,cp
0.23,NA,0.48,0.5,0.37,NA,0.59,cp
0.51,0.37,0.48,0.5,0.35,0.36,NA,cp
0.42,0.38,0.48,0.5,0.54,0.34,0.43,cp
0.36,0.41,0.48,0.5,0.48,0.47,NA,cp
0.24,NA,0.48,0.5,NA,0.52,NA,cp
0.25,0.37,0.48,0.5,NA,0.26,0.36,cp
0.44,0.51,0.48,0.5,0.47,NA,0.36,cp
0.24,NA,0.48,0.5,0.37,0.28,0.38,cp
0.41,0.48,0.48,0.5,NA,NA,NA,cp
0.34,NA,0.48,0.5,NA,0.35,0.44,cp
0.34,0.55,0.48,0.5,NA,0.31,0.41,cp
0.5,0.49,0.48,0.5,0.49,NA,NA,cp
0.53,NA,0.48,0.5,NA,0.29,0.39,cp
0.41,0.43,0.48,0.5,NA,NA,0.25,cp
0.64,0.76,0.48,0.5,0.45,0.35,NA,cp
0.65,0.55,0.48,0.5,0.34,NA,0.28,cp
0.24,0.57,0.48,0.5,0.63,0.34,NA,cp
0.24,0.34,0.48,0.5,NA,0.3,NA,cp
0.43,NA,0.48,0.5,NA,0.45,0.52,cp
0.32,0.33,0.48,0.5,0.6,NA,0.2,cp
0.38,NA,0.48,0.5,0.43,NA,0.39,cp
0.34,NA,0.48,0.5,NA,NA,0.43,cp
0.29,0.28,0.48,0.5,0.5,0.42,0.5,cp
0.17,NA,0.48,0.5,NA,0.3,NA,cp
0.34,0.51,0.48,0.5,0.44,0.37,NA,cp
0.23,0.34,0.48,0.5,0.43,0.26,0.37,cp
0.39,NA,0.48,0.5,NA,NA,NA,cp
0.17,NA,0.48,0.5,NA,0.37,0.46,cp
0.26,NA,0.48,0.5,0.36,0.26,0.37,cp
0.44,0.35,0.48,0.5,0.44,NA,0.59,cp
0.06,0.61,0.48,0.5,0.49,0.92,NA,im
0.23,NA,0.48,0.5,0.59,NA,0.89,im
0.46,0.61,0.48,0.5,0.48,0.86,0.87,im
0.29,0.47,0.48,0.5,0.71,0.65,0.69,im
0.4,0.5,0.48,0.5,0.65,0.82,0.84,im
0.48,NA,0.48,0.5,NA,0.78,NA,im
0.5,0.66,0.48,0.5,0.31,0.92,NA,im
0.33,NA,0.48,0.5,0.33,NA,0.8,im
0.47,0.59,0.48,0.5,0.52,NA,NA,im
0.31,0.5,0.48,0.5,0.57,0.84,NA,im
0.45,0.4,0.48,0.5,NA,0.74,NA,im
0.66,NA,0.48,0.5,0.59,NA,0.66,im
0.34,0.51,0.48,0.5,NA,0.9,0.9,im
0.6,0.5,1,0.5,0.54,0.77,0.8,im
0.2,0.46,0.48,0.5,0.57,0.78,NA,im
0.12,0.43,0.48,0.5,0.63,0.7,0.74,im
0.63,0.65,0.48,0.5,0.66,0.67,0.71,im
0.58,0.34,0.48,0.5,0.56,0.87,0.81,im
0.5,0.57,0.48,0.5,0.71,NA,0.66,im
0.58,0.55,0.48,0.5,0.57,NA,NA,im
0.35,0.51,0.48,0.5,0.61,0.71,NA,im
0.48,0.49,0.48,0.5,0.52,NA,NA,im
0.68,NA,0.48,0.5,0.71,0.75,0.78,im
0.46,0.59,0.48,0.5,NA,0.76,0.23,im
0.1,NA,0.48,0.5,0.41,NA,0.21,im
0.63,0.75,0.48,0.5,0.64,0.73,NA,im
0.63,0.49,0.48,0.5,0.54,0.76,0.79,imS
0.72,0.42,0.48,0.5,NA,0.77,0.79,imU
0.69,0.43,0.48,0.5,0.59,NA,0.77,imU
0.75,0.37,0.48,0.5,NA,0.7,0.74,imU
0.66,0.48,0.48,0.5,0.54,0.7,0.74,imU
0.84,0.49,0.48,0.5,0.55,0.78,0.74,imU
0.58,NA,0.48,0.5,0.59,NA,0.76,imU
0.86,0.39,0.48,0.5,0.59,NA,NA,imU
0.47,0.46,0.48,0.5,0.62,0.74,0.77,imU
0.64,0.45,0.48,0.5,0.67,0.61,0.66,imU
0.49,NA,1,0.5,0.56,0.71,NA,imU
0.63,0.51,0.48,0.5,0.64,NA,NA,imU
0.57,0.38,0.48,0.5,NA,0.49,NA,imU
0.63,NA,0.48,0.5,NA,0.41,NA,om
0.67,0.84,0.48,0.5,0.74,NA,0.37,om
0.75,0.76,0.48,0.5,0.83,0.57,0.3,om
0.68,0.76,0.48,0.5,NA,0.45,0.27,om
0.52,NA,0.48,0.5,NA,0.38,0.38,om
0.69,NA,0.48,0.5,NA,NA,0.21,om
0.68,NA,0.48,0.5,NA,NA,NA,om
0.71,0.46,1,0.5,0.52,0.59,0.3,omL
0.74,0.49,0.48,0.5,NA,0.54,NA,pp
0.73,NA,0.48,0.5,NA,NA,0.31,pp
0.67,0.7,0.48,0.5,0.46,NA,0.33,pp
0.63,NA,0.48,0.5,0.35,0.51,0.49,pp
0.66,NA,0.48,0.5,NA,0.38,NA,pp
0.68,NA,0.48,0.5,0.38,0.65,NA,pp
0.63,0.57,0.48,0.5,NA,NA,0.2,pp
0.63,0.83,0.48,0.5,NA,NA,0.19,pp
0.68,0.78,0.48,0.5,NA,0.44,0.42,pp
0.75,NA,0.48,0.5,0.35,NA,0.33,pp
0.7,0.71,0.48,0.5,0.42,NA,0.85,pp
0.63,NA,0.48,0.5,0.46,NA,NA,pp
0.68,0.67,0.48,0.5,0.49,0.4,NA,pp
0.76,NA,0.48,0.5,0.44,0.39,0.39,pp
0.62,NA,0.48,0.5,NA,NA,0.4,pp
0.69,NA,0.48,0.5,NA,NA,0.41,pp
0.71,NA,0.48,0.5,0.48,0.35,0.32,pp
0.74,0.74,0.48,0.5,0.31,0.53,NA,pp
