"landmass","zone","area","population","language","bar","stripes","color","red","grean","blue","gold","white","black","orange","mainhue","circle","cross","saltire","quarter","sunstars","crescents","triangle","icon","animate","text","topleft","topright","religions"
6,2,18,1,1,0,0,7,1,1,1,1,1,0,1,"blue",0,2,1,1,0,0,0,1,1,NA,"white","blue",1
4,4,10,1,1,0,5,4,1,1,1,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","green",5
4,1,22,0,3,0,0,4,1,1,1,0,1,0,0,"blue",0,0,0,0,1,0,1,0,0,0,"white","green",2
1,4,0,0,1,0,0,5,1,1,0,1,1,1,0,"green",0,0,0,0,2,0,1,0,0,0,"green","red",1
3,1,0,0,3,0,2,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","white",0
2,4,63,0,6,0,5,4,1,1,0,1,1,0,0,"red",0,0,0,0,1,0,0,0,0,0,"green","green",1
1,4,1973,77,2,3,0,4,1,1,0,0,1,0,1,"green",0,0,0,0,0,0,0,0,1,0,"green","red",0
6,1,300,48,10,0,0,4,1,0,1,1,1,0,0,"blue",0,0,0,0,4,0,1,0,0,0,"blue","red",0
3,1,128,15,5,0,0,3,1,0,1,0,1,0,0,"white",0,0,0,0,0,0,1,0,0,0,"white","red",6
2,3,1285,14,2,3,0,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","red",0
3,1,132,10,6,0,9,2,0,0,1,0,1,0,0,"blue",0,1,0,1,0,0,0,0,0,0,"blue","blue",1
6,1,0,0,10,0,0,3,0,0,1,0,1,0,0,"blue",0,0,0,0,1,0,0,1,0,0,"blue","blue",1
5,1,99,39,10,0,0,4,1,0,1,0,1,1,0,"white",1,0,0,0,0,0,0,1,0,0,"white","white",7
1,4,0,0,1,0,1,3,0,0,1,0,1,0,1,"white",0,0,0,0,0,0,0,0,1,NA,"white","blue",1
5,1,6,0,10,0,0,4,1,0,0,1,1,1,0,"gold",0,0,0,0,0,0,1,1,1,1,"white","gold",2
5,1,9561,1008,7,0,0,2,1,0,0,1,0,0,0,"red",0,0,0,0,5,0,0,0,0,0,"red","red",6
2,3,2777,28,2,0,3,3,0,0,1,1,1,0,0,"blue",0,0,0,0,1,0,0,0,0,0,"blue","blue",0
6,2,1,0,10,0,0,2,1,0,0,0,1,0,0,"red",0,1,0,1,0,0,0,0,0,0,"white","red",1
2,4,1139,28,2,0,3,3,1,0,1,1,0,0,0,"gold",0,0,0,0,0,0,0,0,0,0,"gold","red",0
3,1,249,61,4,0,3,3,1,NA,0,1,0,1,0,"black",0,0,0,0,0,0,0,0,0,0,"black","gold",1
3,1,31,10,6,3,0,3,1,0,0,1,0,1,0,"gold",0,0,0,0,0,0,0,0,0,0,"black","red",0
3,1,0,0,6,2,0,NA,1,0,0,1,1,1,0,"gold",0,0,0,0,0,0,0,1,0,0,"gold","white",0
4,2,118,6,10,0,3,3,1,1,0,0,0,1,0,"red",0,0,0,0,1,0,0,0,0,0,"black","green",5
5,1,98,2,8,0,3,4,1,1,0,0,1,1,0,"black",0,0,0,0,1,0,1,0,0,0,"black","green",2
1,4,0,0,1,0,0,4,0,0,1,1,1,1,0,"blue",0,0,0,0,0,0,1,0,0,0,"blue","blue",1
1,4,0,0,1,0,0,6,1,1,1,1,1,0,1,"blue",0,1,1,1,0,0,0,1,1,1,"white","blue",1
5,1,1,3,7,0,2,2,1,0,0,0,1,0,0,"white",0,0,0,0,5,1,0,0,0,0,"red","white",3
1,4,0,0,1,0,1,5,1,0,1,1,1,1,0,"red",0,0,0,0,1,0,1,0,0,0,"black","red",1
5,1,333,13,10,0,14,4,1,0,1,1,1,0,0,"red",0,0,0,1,1,1,0,0,0,0,"blue","white",2
1,4,28,6,3,2,0,2,1,0,0,0,0,1,0,"black",0,0,0,0,0,0,0,0,0,0,"black","red",0
5,1,1,5,7,0,0,6,1,1,1,1,1,0,1,"blue",1,1,1,1,0,0,0,1,1,1,"white","blue",3
4,2,1221,29,6,0,3,5,1,1,1,0,1,0,1,"orange",0,1,1,0,0,0,0,0,0,0,"orange","blue",1
1,4,49,6,2,0,0,3,1,0,1,0,1,0,0,"blue",0,1,0,0,0,0,0,0,0,0,"blue","blue",0
5,1,288,2,8,0,3,4,1,0,1,0,1,1,0,"red",0,0,0,0,1,0,1,0,0,0,"red","black",2
4,1,623,2,10,1,0,5,1,1,1,1,1,0,0,"gold",0,0,0,0,1,0,0,0,0,0,"blue","gold",5
2,3,8512,119,6,0,0,NA,0,1,1,1,1,0,0,"green",1,0,0,0,22,0,0,0,0,1,"green","green",0
3,1,0,0,10,2,0,3,1,0,0,0,1,1,0,"red",0,1,0,0,0,0,0,1,0,0,"white","red",0
5,1,333,60,10,0,0,2,1,NA,0,1,0,0,0,"red",0,0,0,0,1,0,0,0,0,0,"red","red",6
3,1,256,22,6,0,3,4,1,0,1,1,1,0,0,"red",0,0,0,0,1,0,0,0,0,0,"blue","red",6
3,4,92,10,6,0,0,5,1,1,1,1,1,0,0,"red",1,0,0,0,0,0,0,1,0,0,"green","red",0
6,1,1,0,10,0,0,2,0,0,1,0,1,0,0,"blue",0,0,0,0,4,0,0,0,0,NA,"blue","blue",1
5,1,181,6,10,0,0,2,1,0,0,1,0,0,0,"red",0,0,0,0,0,0,0,1,0,0,"red","red",3
2,3,178,3,2,0,9,3,0,0,1,1,1,0,0,"white",0,0,0,1,1,0,0,0,0,0,"white","white",0
2,4,76,2,2,0,0,3,1,0,1,0,1,0,0,"red",0,0,0,4,2,0,0,0,0,0,"white","white",0
4,4,246,6,3,3,0,3,1,1,0,1,0,0,0,"gold",0,0,0,0,0,0,0,0,0,0,"red","green",2
1,4,0,0,1,5,0,4,0,1,1,1,1,0,0,"green",0,0,0,0,0,0,0,1,1,1,"blue","green",1
3,1,3,0,4,0,3,3,1,0,1,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","blue",0
4,2,17,1,10,0,5,NA,1,0,1,1,1,1,1,"blue",0,0,0,0,0,0,0,1,0,0,"blue","blue",1
3,1,9,1,6,0,0,3,0,1,0,1,1,0,0,"white",0,0,0,0,0,0,0,1,1,0,"white","white",1
4,2,2,0,3,0,0,NA,0,1,0,0,1,0,0,"green",0,0,0,0,4,1,0,0,0,0,"green","green",2
1,4,0,0,1,3,0,NA,0,0,1,1,0,1,0,"blue",0,0,0,0,0,0,0,1,0,0,"blue","blue",1
5,1,372,118,9,0,0,2,1,0,0,0,1,0,0,"white",1,0,0,0,1,0,0,0,0,0,"white","white",7
3,1,324,4,6,0,0,3,1,0,1,0,1,0,0,"red",0,1,0,0,0,0,0,0,0,0,"red","red",1
6,2,1904,157,10,0,2,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","white",2
4,1,925,56,10,3,0,2,0,1,0,0,1,0,0,"green",0,0,0,0,0,0,0,0,0,0,"green","green",2
5,1,1648,39,6,0,3,3,1,1,0,0,1,0,0,"red",0,0,0,0,0,0,0,1,0,1,"green","red",2
1,4,11,2,1,0,0,3,0,1,0,1,0,1,0,"green",0,0,1,0,0,0,1,0,0,0,"gold","gold",1
6,2,0,0,10,0,3,3,0,0,1,1,1,0,0,"blue",0,0,0,0,1,0,0,0,0,0,"blue","blue",1
4,1,637,5,10,0,0,2,0,0,1,0,1,0,0,"blue",0,0,0,0,1,0,0,0,0,0,"blue","blue",2
5,1,2150,9,8,0,0,2,0,1,0,0,1,0,0,"green",0,0,0,0,0,0,0,1,0,1,"green","green",2
4,2,753,6,10,3,0,4,1,1,0,0,0,1,1,"green",0,0,0,0,0,0,0,0,1,0,"green","brown",5
4,2,342,2,10,0,0,3,1,1,0,1,0,0,0,"red",0,0,0,0,1,0,0,1,1,0,"red","red",5
1,4,115,10,2,0,5,3,1,NA,1,0,1,0,0,"blue",0,0,0,0,1,0,1,0,0,0,"blue","blue",6
6,3,3,0,1,0,0,3,1,0,1,0,1,0,0,"red",0,0,0,1,5,0,0,0,0,NA,"blue","red",1
2,4,91,0,3,3,0,3,1,0,1,0,1,0,0,"white",0,0,0,0,0,0,0,0,0,0,"blue","red",0
5,1,236,3,10,0,3,3,1,0,1,0,1,0,0,"red",1,0,0,0,0,0,0,0,0,0,"red","red",6
4,2,783,12,10,0,5,5,1,1,0,1,1,1,0,"gold",0,0,0,0,1,0,1,1,0,0,"green","gold",5
1,4,51,2,2,0,5,3,1,0,1,0,1,0,0,"blue",0,0,0,0,0,0,0,0,0,0,"blue","blue",0
1,4,0,0,1,0,0,6,1,1,1,1,1,0,1,"blue",0,1,1,1,0,0,0,1,1,0,"white","blue",1
3,1,237,22,6,3,0,7,1,1,1,1,1,0,1,"red",0,0,0,0,2,0,0,1,1,NA,"blue","red",6
6,3,0,0,1,0,0,4,1,0,1,1,1,0,0,"gold",1,1,1,1,5,0,0,0,0,0,"white","gold",1
2,4,215,1,1,0,0,5,1,1,0,1,1,1,0,"green",0,0,0,0,0,0,1,0,0,0,"black","green",4
5,1,140,16,10,0,0,3,0,0,1,0,1,0,1,"brown",0,0,0,0,2,1,0,0,0,0,"blue","blue",4
5,1,36,18,7,0,0,3,1,0,1,0,1,0,0,"red",1,0,0,1,1,0,0,0,0,0,"blue","red",3
4,2,26,5,10,3,0,4,1,1,0,1,0,1,0,"red",0,0,0,0,0,0,0,0,0,1,"red","green",5
4,2,945,18,10,0,0,4,0,1,1,1,0,1,0,"green",0,0,0,0,0,0,1,0,0,0,"green","blue",5
4,3,0,0,1,0,0,7,1,1,1,1,1,0,1,"blue",0,1,1,1,0,0,0,1,0,0,"white","blue",1
4,4,274,7,3,0,2,3,1,1,0,1,0,0,0,"red",0,0,0,0,1,0,0,0,0,0,"red","green",5
5,1,514,49,10,0,5,3,1,0,1,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,NA,"red","red",3
4,1,2506,20,8,0,3,4,1,1,0,0,1,1,0,"red",0,0,0,0,0,0,1,0,0,0,"red","black",2
4,2,28,4,10,0,0,3,1,1,0,0,1,0,0,"red",1,0,1,0,3,0,0,0,0,0,"white","white",5
4,4,323,7,3,3,0,3,1,1,0,0,1,0,0,"white",0,0,0,0,0,0,0,0,0,0,"red","green",5
4,2,2,1,1,0,4,4,1,1,1,1,0,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","green",4
3,4,103,0,6,0,0,3,1,0,1,0,1,0,0,"blue",0,1,0,0,0,0,0,0,0,0,"blue","blue",1
1,4,0,0,1,0,0,6,1,1,1,1,1,1,0,"red",1,1,1,1,0,0,0,1,1,0,"white","red",1
6,3,0,0,1,0,0,5,1,0,1,1,1,0,1,"blue",0,0,0,0,0,0,1,1,1,0,"blue","red",1
6,2,30,0,1,0,0,4,0,1,1,1,1,0,0,"green",0,0,0,0,5,0,1,0,0,0,"blue","green",1
1,4,0,0,1,0,0,NA,1,1,1,1,1,0,0,"white",0,0,0,0,0,0,0,1,1,1,"white","white",1
3,4,0,0,1,0,1,3,1,0,0,1,1,0,0,"white",0,0,0,0,0,0,0,1,0,0,"white","red",1
1,4,0,0,1,0,0,6,1,1,1,1,1,0,1,"blue",1,1,1,1,4,0,0,1,1,1,"white","blue",1
6,2,7690,15,1,0,0,3,1,0,1,0,1,0,0,"blue",0,1,1,1,6,0,0,0,0,0,"white","blue",1
4,4,1240,7,3,3,0,3,1,1,0,1,0,0,0,"gold",0,0,0,0,0,0,0,0,0,0,"green","red",2
1,4,109,8,2,3,0,2,0,0,1,0,1,0,0,"blue",0,0,0,0,0,0,0,0,0,0,"blue","blue",0
1,4,9976,24,1,2,0,2,1,0,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,1,0,"red","red",1
5,1,84,1,8,1,3,4,1,1,0,0,1,1,0,"green",0,0,0,0,0,0,0,0,0,0,"red","black",2
1,4,9363,231,1,0,13,3,1,0,1,0,1,0,0,"white",0,0,0,1,50,0,0,0,0,0,"blue","red",1
6,2,463,3,1,0,0,4,1,0,0,1,1,1,0,"black",0,0,0,0,5,0,1,0,1,0,"red","black",5
4,2,30,1,10,2,0,4,1,NA,1,0,1,0,0,"blue",0,0,0,0,0,0,0,1,0,0,"green","blue",5
3,1,0,0,6,3,0,3,1,0,1,1,0,0,0,"gold",0,0,0,0,0,0,0,0,0,0,"blue","red",0
2,3,12,0,1,0,0,6,1,1,1,1,1,0,0,"blue",1,1,1,1,0,0,0,1,1,1,"white","blue",1
3,1,301,57,6,3,0,3,1,1,0,0,1,0,0,"white",0,0,0,0,0,0,0,0,0,0,"green","red",0
3,1,29,3,6,0,0,3,1,0,0,1,0,1,0,"red",0,0,0,0,1,0,0,0,1,0,"red","red",6
1,4,0,0,1,0,0,3,1,1,0,1,0,0,0,"gold",1,0,0,0,7,0,1,0,1,0,"red","red",1
4,4,239,14,1,0,3,4,1,NA,0,1,0,1,0,"red",0,0,0,0,1,0,0,0,0,0,"red","green",5
4,1,236,13,10,0,6,5,1,0,0,1,1,1,0,"gold",1,0,0,0,0,0,0,0,1,0,"black","red",5
4,1,0,0,6,0,3,4,1,1,0,1,0,1,0,"green",0,0,0,0,2,0,1,0,0,0,"green","green",0
4,4,1031,2,8,0,0,2,0,1,0,1,0,0,0,"green",0,0,0,0,1,1,0,0,0,NA,"green","green",2
5,1,804,84,6,1,0,2,0,1,0,0,1,0,0,"green",0,0,0,0,1,1,0,0,0,0,"white","green",2
3,1,0,0,6,0,2,2,0,0,1,0,1,0,0,"white",0,0,0,0,0,0,0,0,0,0,"white","blue",0
3,1,337,5,9,0,0,2,0,0,1,0,1,0,0,"white",0,1,0,0,0,0,0,0,0,0,"white","white",1
2,3,407,3,2,0,3,6,1,1,1,1,1,1,0,"red",1,0,0,0,1,0,0,1,1,1,"red","blue",0
2,3,757,11,2,0,2,NA,1,0,1,0,1,0,0,"red",0,0,0,1,1,0,0,0,0,0,"blue","red",0
1,4,23,0,1,0,2,NA,1,1,1,1,1,1,1,"blue",1,0,0,0,0,0,0,1,1,1,"red","red",1
4,2,391,8,10,0,7,5,1,1,0,1,1,1,0,"green",0,0,0,0,1,0,1,1,1,0,"green","green",5
5,1,11,0,8,0,0,2,0,0,0,0,1,0,1,"brown",0,0,0,0,0,0,0,0,0,0,"white","brown",2
5,1,781,45,9,0,0,2,1,0,0,0,1,0,0,"red",0,0,0,0,1,1,0,0,0,0,"red","red",2
4,1,28,0,10,0,3,4,1,1,1,0,1,0,0,"green",0,0,0,0,0,0,1,0,0,0,"green","red",5
3,1,93,11,9,0,3,3,1,1,0,0,1,0,0,"red",0,0,0,0,0,0,0,0,0,0,"red","green",6
4,1,164,7,8,0,0,2,1,0,0,0,1,0,0,"red",1,0,0,0,1,1,0,0,0,0,"red","red",2
5,1,195,9,8,0,3,4,1,1,0,0,1,1,0,"red",0,0,0,0,1,0,0,0,0,0,"red","black",2
6,3,4,0,3,0,3,5,1,0,1,1,1,1,0,"red",1,0,0,0,1,0,0,1,0,0,"red","red",0
6,3,0,0,1,0,0,4,1,0,1,0,1,0,0,"blue",1,1,1,1,15,0,0,0,0,0,"white","blue",1
5,1,10,3,8,0,2,4,1,1,0,0,1,0,1,"red",0,0,0,0,0,0,0,0,1,0,"red","red",2
1,4,9,3,2,0,5,3,1,0,1,0,1,0,0,"red",0,0,0,0,1,0,1,0,0,0,"red","red",0
6,2,0,0,1,0,0,NA,1,0,1,1,1,0,0,"blue",0,1,1,1,9,0,0,0,0,0,"white","blue",1
4,1,113,3,3,0,0,2,1,1,0,0,0,0,0,"green",0,0,0,0,1,0,0,0,0,0,"green","green",5
4,4,196,6,3,3,0,3,1,1,0,1,0,0,0,"green",0,0,0,0,1,0,0,0,0,0,"green","red",2
5,1,212,1,8,0,2,3,1,1,0,0,1,0,0,"red",0,0,0,0,0,0,0,1,0,0,"red","green",2
5,1,22402,274,5,0,0,2,1,0,0,1,0,0,0,"red",0,0,0,0,1,0,0,1,0,0,"red","red",6
5,1,66,15,10,2,0,4,0,NA,0,1,0,0,1,"gold",0,0,0,0,0,0,0,1,1,0,"gold","gold",3
